"","headlines","links","summary","body","date"
"48","Opinion | Flopped civic mass action sends PCCA scrambling back to the drawing board amidst floating reasons","https://www.sudanspost.com/opinion-flopped-civic-mass-action-sends-pcca-scrambling-back-to-the-drawing-board-amidst-floating-reasons/","“ No surprise. Most public intellectuals predicted the obvious stillbirth before the actual date of delivery.”","By Deng Vanang","August 31, 2021"
"49","Opinion | The National Awakening Day","https://www.sudanspost.com/the-national-awakening-day/","""The defenders of this ""Revival Day"" must first learn about the issues of civil disobedience.""","By Ayine R S Nigo","August 31, 2021"
"50","Opinion | Popular uprising is a premature idea for a country with illiterate majority, high affinity to ethnic alignment  ","https://www.sudanspost.com/popular-uprising-is-a-premature-idea-for-a-country-with-illiterate-majority-high-affinity-to-ethnic-alignment/","""For now PCCA is an idea that cannot work. Should it happened as planned, the organizers will have leadership challenges in giving directives or organizing demonstrators that have guns in their houses. Any small provocation from security personnel would lead to state of anarchy.""","By Makwei Achol Thiong","August 29, 2021"
"51","Opinion | Impacts of the protests slated for August 30","https://www.sudanspost.com/impacts-of-the-protests-slated-for-august-30/","""Civil disobedience is always risky to countries with polarized societal fabrics, weak public institutions, and limited policy space.""","By Matiop Aguek Anyang","August 27, 2021"
"52","FULL-TEXT | Declaration of support to SPLM-IO Kitgwang faction under Gen. Simon Gatwech Dual","https://www.sudanspost.com/declaration-of-support-to-splm-io-kitgwang-faction-under-gen-simon-gatwech-dual/","Andrew Kuong, an advisor on political affairs and former minister of information of Unity state said he has abandoned Machar in the below statement because he has not been able to protect the people of South Sudan from President Salva Kiir Mayardit's government.","SPLA-IO General Chief of Staff General Simon Gatwech Dual talks to the press at a cantonment site following his return to Juba on April 25, 2016 [Photo by Charles Lomodong/AFP via Getty Images]JUBA – A senior South Sudan opposition official has declared his support to the SPLM-IO Kitgwang faction led by General Simon Gatwech Dual. Andrew Kuong, an advisor on political affairs and former minister of information of Unity state said he has abandoned Machar in the below statement because he has not been able to protect the people of South Sudan from President Salva Kiir Mayardit’s government.","August 27, 2021"
"53","STATEMENT | Top SPLM-IO politicians from Jonglei debunk Kitgwang Declaration","https://www.sudanspost.com/top-splm-io-politicians-from-jonglei-debunk-kitgwang-declaration/","The group said in the statement below said the attempt by the controversial opposition commander was the work of unnamed peace spoilers who are longing to undermine the implementation of chapter two of the revitalized peace agreement which deals with security arrangements that provides for the reunification of the rival forces.","South Sudan First Vice President Dr. Riek Machar Teny [Photo by unknown]JUBA – A group of South Sudanese politicians from Jonglei state serving different roles in the revitalized unity government has criticized General Simon Gatwech Dual’s last week attempt to remove First Vice President Dr. Riek Machar Teny as the leader of the main armed opposition group, SPLM-IO.","August 18, 2021"
"54","FULL-TEXT | Outcome of the meeting of SPLM-IO Political Bureau in Juba","https://www.sudanspost.com/outcome-of-the-meeting-of-splm-io-political-bureau-in-juba/","The meeting of the most powerful organ of the main armed opposition group discussed the recent military confrontations among several factions of the SPLM-IO.","JUBA — The Political Bureau of the main armed opposition group, SPLM-IO, led by First Vice President Dr. Riek Machar Teny has issued a communique following a meeting in Juba.","August 13, 2021"
"55","FULL-TEXT | Statement by Honorable Henry Odwar for support to Kitgwang Declaration","https://www.sudanspost.com/statement-by-honorable-henry-odwar-for-support-to-kitgwang-declaration/","South Sudan's former mining minister and deputy SPLM-IO chairman has issued a statement declaring his support for the Kitgwang Declaration.","Mining minister and deputy chairman of the SPLM-IO Henry Odwar, center, addresses a press in Juba, capital of South Sudan. [Photo via Xinhua]JUBA – South Sudan’s former mining minister and deputy SPLM-IO chairman has issued a statement declaring his support for the Kitgwang Declaration. Below is the full text statement.","August 11, 2021"
"56","FULL-TEXT | Statement by Gen. Stephen Buay on why he left Gen. Malong","https://www.sudanspost.com/statement-by-gen-stephen-buay-on-why-he-left-gen-malong/","South Sudan former army commander General Stephen Buay Rolnyang explaining why he decided to leave General Paul Malong Awan's South Sudan United Front/Army.","General Stephen Buay Rolnyang (right) posting with Malong following a meeting today in Nairobi [Photo courtesy]JUBA – South Sudan former army commander General Stephen Buay Rolnyang explaining why he decided to leave General Paul Malong Awan’s South Sudan United Front/Army.","August 9, 2021"
"57","FULL-TEXT | Gen. Duop Lam’s statement on ‘Kitgwang Declaration’ by Gen. Gatwech Dual","https://www.sudanspost.com/gen-duop-lams-statement-on-the-kitgwang-declaration-by-gen-gatwech-dual/","The SPLA-IO acting Chief of General Staff General Gabriel Duop Lam has issued a strong-worded statement condemning the declaration of Kitgwang in which General Simon Gatwech Dual announced the removal of Dr. Riek Machar Teny.","Acting SPLA-IO Chief of Staff General Gabriel Duop Lam. [Photo by JDB]JUBA – The SPLA-IO acting Chief of General Staff General Gabriel Duop Lam has issued a strong-worded statement condemning the declaration of Kitgwang in which General Simon Gatwech Dual announced the removal of Dr. Riek Machar Teny.","August 6, 2021"
"58","FULL-TEXT | Declaration by Gen. Gatwech Dual for removal of Machar as SPLM-IO chairman","https://www.sudanspost.com/full-text-declaration-by-gen-gatwech-dual-for-removal-of-machar-as-splm-io-chairman/","In the statement below, General Simon Gatwech declared himself the interim chairman and commander in chief of the main armed opposition group urging all unites to cut communication with Machar.","SPLA-IO Chief of General Staff General Simon Gatwech Dual arrives at Juba airport from Pagak on April 25, 2016. [Photo by unknown]JUBA – South Sudan’s controversial main armed opposition commander General Simon Gatwech Dual has issued a statement removing First Vice President Dr. Riek Machar Teny as the chairman of the SPLM/SPLA-IO.","August 3, 2021"
"59","S. Sudan to receive 100,000 doses of Chinese-made coronavirus vaccine","https://www.sudanspost.com/s-sudan-to-receive-100000-doses-of-chinese-made-coronavirus-vaccine/","Speaking to Sudans Post on Friday, deputy minister of foreign affairs Deng Dau Deng said the Chinese government has donated 100,000 doses of Sinopharm vaccines to the world's youngest country.","South Sudan deputy minister of foreign affairs Deng Dau Deng [Photo by unknown]JUBA – South Sudan is expected to receive 100,000 Sinopharm doses from the Chinese government to help in the fight against the COVID-19 pandemic.","August 27, 2021"
"60","South Sudan states health ministers directed to take lead in COVID-19 fight","https://www.sudanspost.com/south-sudan-states-health-ministers-directed-to-take-lead-in-covid-19-fight/","South Sudan states health ministers should take on a leading role in an effort to fight the deadly coronavirus pandemic, according to Dr.  Victoria Achut, undersecretary at the federal health ministry.","Oxford Coronavirus vaccine open graph [Photo via Egypt independent]JUBA – South Sudan states health ministers should take on a leading role in an effort to fight the deadly coronavirus pandemic, according to Dr.  Victoria Achut, undersecretary at the federal health ministry.","August 18, 2021"
"61","South Sudan to run out of coronavirus vaccines in days","https://www.sudanspost.com/south-sudan-to-run-out-of-coronavirus-vaccines-in-days/","South Sudan government has announced that it is running out of coronavirus vaccines in days with only about 1,800 AstraZeneca doses, evacuated from states where turn out for vaccination is low, left.","Presidential security advisor Tutkew Gatluak (left) and minister of health Elizabeth Achuei (center) receiving COVID-19 vaccine at Juba Airport [Photo by Anadolu agency]JUBA – South Sudan government has announced that it is running out of coronavirus vaccines in days with only about 1,800 AstraZeneca doses, evacuated from states where turn out for vaccination is low, left.","July 11, 2021"
"62","South Sudan to receive second batch of COVID-19 vaccine next month","https://www.sudanspost.com/south-sudan-to-receive-second-batch-of-covid-19-vaccine-next-month/","South Sudan will receive its second batch of COVID-19 vaccine doses in August, according to health authorities.","Presidential security advisor Tutkew Gatluak (left) and minister of health Elizabeth Achuei (center) receiving COVID-19 vaccine at Juba Airport [Photo by Anadolu agency]JUBA – South Sudan will receive its second batch of COVID-19 vaccine doses in August, according to health authorities.","July 6, 2021"
"63","S. Sudan health officials warn travelers against violating COVID-19 health protocols","https://www.sudanspost.com/s-sudan-health-officials-warn-travelers-against-violating-covid-19-health-protocols/","Dr. John Rumunu, Director-General for Preventive Health Services at the Ministry of Health told reporters during the routine weekly briefing on COVID-19 at Emergency Operation Center (EOP) in Juba that violating self-quarantine puts people’s lives at risk of transmission of the virus.","Dr. John Rumunu, Director-General for Preventive Health Services at the Ministry of Health speaking to reporters in Juba June 20, 2021 [Photo by Sudans Post]JUBA – South Sudanese health officials have warned travelers against violating quarantine protocols put in place to curial the spread of the deadly coronavirus pandemic.","June 21, 2021"
"64","South Sudan has until July 18 to use over 29,000 COVID-19 vaccine doses","https://www.sudanspost.com/south-sudan-has-until-july-18-to-use-over-29000-covid-19-vaccine-doses/","Speaking to reporters during weekly COVID-19 media briefing in Juba On Sunday, Dr. John Rumunu, Director-General for Protective Health Services at the Ministry of Health disclosed that the Ministry will have to administered the remaining doses before they expiry.","JUBA — South Sudan has roughly one month to administer the remaining 29,710 doses of AstraZeneca vaccines before it expire on July 18th, an health expert said.","June 20, 2021"
"65","National security shuts down Radio Jonglei over alleged links to protest group  ","https://www.sudanspost.com/national-security-shuts-down-radio-jonglei-over-alleged-links-to-protest-group/","Station manager Matuor Mabior Anyang tells Sudans Post that security operatives have confiscated their phones and office keys and have told him and his colleagues to follow them in their office for questioning.","Billboard of the Radio Jonglei station. [Photo supplied to Sudans Post]JUBA – South Sudan’s National Security Service has on Friday closed down the popular Radio Jonglei station in Bor saying it is being used by members of the People’s Coalition for Civil Action (PCCA) to air out calls for popular uprisings slated for august 30, station manager Matuor Mabior Anyang tells Sudans Post.","August 27, 2021"
"66","Kuol Manyang threatens to sue Facebook page over claims he supports anti-Kiir protests","https://www.sudanspost.com/kuol-manyang-threatens-to-sue-facebook-page-over-claims-he-supports-anti-kiir-protests/","""If not, I have given them 72 hours, to do the apology if they don't get me that person or apologize, then I will take them to court.""","South Sudan’s former defense minister and senior presidential advisor Kuol Manyang Juuk [Photo via Facebook]JUBA – President Salva Kiir’s senior presidential advisor and former minister of defense Kuol Manyang Juuk has threatened to sue a local Facebook news page over a report in which the page claimed that Manyang, senior SPLM member Daniel Awet Akot, and Vice-President for Economic Cluster, Dr. James Wani Igga, are supporting the planned protest against the government of President Kiir Mayardit slated for August 30.","August 26, 2021"
"67","S. Sudan media regulator slaps SSP750,000-fine against Al Watan newspaper, threatens further actions","https://www.sudanspost.com/s-sudan-media-regulator-slaps-ssp750000-fine-against-al-watan-newspaper-threatens-further-actions/","In a letter to the newspaper's editor Michael Rial Christopher, the Media Authority say the journalist has made breaches of journalistic ethics and has used social media in an abusive way and that Mr. Rial was using the newspaper for personal political aspirations.","Al Watan Daily Newspaper logo. [Photo by Al Watan]JUBA – South Sudan’s popular Arabic newspaper, Al Watan Daily Newspaper, has been fined by the National Media Authority with a fine of 750,000 South Sudanese Pounds for what it calls ‘incitement’ on social media and threatened to take further administrative measures against the newspaper in the event that it fail to pay the fine by August 30, 2021.","August 19, 2021"
"68","Journalist released without charges after one year in detention by National Security Service  ","https://www.sudanspost.com/journalist-released-without-charges-after-one-year-in-detention-by-national-security-service/","South Sudanese Journalist Jackson Ochaya has been released without charge on Friday, nearly one year after his detention by the National Security Service for writing a story in which he quoting a holdout opposition spokesman.","Journalist Jackson Ochaya of No. 1 Citizen Daily Newspaper [Photo via Facebook]JUBA – South Sudanese Journalist Jackson Ochaya has been released without charge on Friday, nearly one year after his detention by the National Security Service for writing a story in which he quoting a holdout opposition spokesman.","August 13, 2021"
"69","Activist ‘tortured’ by NSS for writing against arrest of ex-Northern Bahr el Ghazal governor","https://www.sudanspost.com/activist-tortured-by-nss-for-writing-against-arrest-of-ex-northern-bahr-el-ghazal-governor/","Mazala Mabil Pham who is also a student of the Catholic University of South Sudan said in an email to Sudans Post that he was arrested twice by the National Security Service, before being taken to the spy agency's headquarters also known as the 'Blue House' where he claimed he was then tortured.","Activist Mazala Mabil. [Photo courtesy]JUBA – An activist in South Sudan has claimed that he was briefly detained and then tortured by South Sudan’s National Security Service (NSS) for writing against the detention of former Northern Bahr el Ghazal state governor-turned activist Kuel Aguer.","August 13, 2021"
"70","South Sudan spy agency sets 1 condition for release of ex-Northern Bahr el Ghazal governor","https://www.sudanspost.com/south-sudan-spy-agency-sets-1-condition-for-release-of-ex-northern-bahr-el-ghazal-governor/","Aguer was arrested on Monday days after forming a civil rights advocacy group aiming to mobilize the people of South Sudan amid growing discontent with the government of President Salva Kiir Mayardit.","JUBA — The Director General of Internal Security Bureau at  South Sudan’s National Security Service (NSS) General Akol Koor Kuc has set one pre-condition for release of former governor of Northern Bahr el Ghazal state Kuel Aguer who was arrested by the agency early this week, a source familiar with the matter told Sudans Post.","August 6, 2021"
"71","Machar condemns arrest of ex-Northern Bahr el Ghazal governor, demands immediate release","https://www.sudanspost.com/machar-condemns-arrest-of-ex-northern-bahr-el-ghazal-governor-demands-immediate-release/","South Sudan's First Vice President and leader of the main armed Sudan People's Liberation Movement in Opposition Dr. Riek Machar Teny has condemned, in a communiqué following an emergency meeting of the SPLM-IO Political Bureau in Juba, this week's arrest of former governor of Northern Bahr el Ghazal state Kuel Aguer.","Former Northern Bahr el Ghazal state governor Kuel Aguer Kuel. [Photo by Radio Tamazuj]JUBA – South Sudan’s First Vice President and leader of the main armed Sudan People’s Liberation Movement in Opposition Dr. Riek Machar Teny has condemned, in a communiqué following an emergency meeting of the SPLM-IO Political Bureau in Juba, this week’s arrest of former governor of Northern Bahr el Ghazal state Kuel Aguer.","August 5, 2021"
